No,Kab/Kota,SI,SP,SKL,SPT,SSP,SPL,SB,SPN,Akreditasi
1,Kabupaten Bantul,100,100,79,92.5,82.5,100,100,100,A
2,Kabupaten Bantul,76.67,85,73,66.25,64.17,81.25,72,78.75,B
3,Kabupaten Sleman,96.67,92.5,94,80,93.33,98.75,95,86.25,A
4,Kabupaten Sleman,93.33,82.5,81,92.5,91.67,91.25,96,90,A
5,Kabupaten Sleman,78.33,82.5,91,96.25,88.33,88.75,95,82.5,A
6,Kabupaten Sleman,91.67,92.5,93,90,75.83,95,86,85,A
7,Kabupaten Gunung Kidul,95,85,75,70,64.17,81.25,89,90,B
8,Kabupaten Gunung Kidul,81.67,80,85,83.75,70,86.25,78,77.5,B
9,Kabupaten Gunung Kidul,75,60,68,66.25,47.5,50,77,71.25,C
10,Kabupaten Kulon Progo,81.67,82.5,89,96.25,90,95,92,90,A
11,Kabupaten Kulon Progo,86.67,82.5,76,82.5,74.17,83.75,91,82.5,B
12,Kota Yogyakarta,91.67,97.5,73,81.25,65,90,89,97.5,B
13,Kota Yogyakarta,75,80,60,76.25,67.5,85,67,80,B
14,Kabupaten Bantul,96.67,97.5,96,91.25,96.67,100,95,98.75,A
15,Kabupaten Bantul,96.67,97.5,89,86.25,96.67,100,100,97.5,A
16,Kabupaten Bantul,95,92.5,95,86.25,89.17,98.75,95,92.5,A
17,Kabupaten Bantul,98.33,95,92,88.75,83.33,95,97,92.5,A
18,Kabupaten Bantul,100,75,93,95,90,92.5,97,90,A
19,Kabupaten Bantul,91.67,85,96,83.75,83.33,100,100,96.25,A
20,Kabupaten Bantul,83.33,90,97,92.5,98.33,95,90,82.5,A
21,Kabupaten Bantul,83.33,87.5,76,78.75,85,95,90,85,B
22,Kabupaten Bantul,91.67,87.5,66,81.25,85,95,79,92.5,B
23,Kabupaten Bantul,91.67,85,80,73.75,85,92.5,78,91.25,B
24,Kabupaten Sleman,85,85,89,90,93.33,96.25,90,92.5,A
25,Kabupaten Sleman,85,87.5,95,77.5,92.5,90,85,87.5,A
26,Kabupaten Sleman,96.67,92.5,64,87.5,83.33,93.75,81,91.25,A
27,Kabupaten Sleman,96.67,80,75,83.75,81.67,87.5,87,93.75,A
28,Kabupaten Sleman,73.33,82.5,77,85,76.67,90,91,80,B
29,Kabupaten Sleman,88.33,80,70,71.25,65,78.75,87,83.75,B
30,Kabupaten Sleman,86.67,80,76,72.5,77.5,86.25,68,76.25,B
31,Kabupaten Sleman,85,80,71,76.25,64.17,83.75,74,80,B
32,Kabupaten Sleman,83.33,80,54,70,70,68.75,90,88.75,B
33,Kabupaten Sleman,63.33,67.5,69,78.75,74.17,82.5,94,76.25,B
34,Kabupaten Sleman,70,80,56,66.25,75.83,75,89,71.25,B
35,Kabupaten Sleman,81.67,75,62,61.25,65.83,90,67,86.25,B
36,Kabupaten Sleman,66.67,77.5,62,61.25,56.67,68.75,48,90,C
37,Kabupaten Sleman,55,62.5,68,70,60.83,66.25,63,71.25,C
38,Kabupaten Sleman,50,57.5,56,66.25,63.33,63.75,60,66.25,C
39,Kabupaten Gunung Kidul,98.33,95,97,93.75,99.17,100,97,96.25,A
40,Kabupaten Gunung Kidul,100,95,97,95,96.67,100,95,95,A
41,Kabupaten Gunung Kidul,100,97.5,91,88.75,94.17,97.5,94,95,A
42,Kabupaten Gunung Kidul,91.67,95,94,87.5,90.83,97.5,98,91.25,A
43,Kabupaten Gunung Kidul,96.67,77.5,84,96.25,93.33,86.25,88,95,A
44,Kabupaten Gunung Kidul,95,95,77,82.5,88.33,95,93,87.5,A
45,Kabupaten Gunung Kidul,96.67,90,89,88.75,80,91.25,93,83.75,A
46,Kabupaten Gunung Kidul,85,90,78,83.75,87.5,97.5,98,81.25,A
47,Kabupaten Gunung Kidul,93.33,85,83,86.25,80,87.5,93,91.25,A
48,Kabupaten Gunung Kidul,96.67,87.5,85,78.75,84.17,92.5,86,78.75,A
49,Kabupaten Gunung Kidul,85,85,86,75,77.5,80,77,75,B
50,Kabupaten Kulon Progo,93.33,97.5,99,88.75,93.33,95,98,93.75,A
51,Kabupaten Kulon Progo,93.33,97.5,89,76.25,83.33,87.5,90,80,A
52,Kabupaten Kulon Progo,71.67,85,64,93.75,89.17,87.5,86,80,B
53,Kabupaten Kulon Progo,76.67,70,74,81.25,78.33,87.5,87,91.25,B
54,Kabupaten Kulon Progo,80,80,67,73.75,80,86.25,72,90,B
55,Kota Yogyakarta,100,95,90,100,91.67,100,96,95,A
56,Kota Yogyakarta,90,92.5,95,90,97.5,97.5,96,93.75,A
57,Kota Yogyakarta,100,100,93,96.25,91.67,97.5,73,98.75,A
58,Kota Yogyakarta,90,85,91,85,91.67,95,97,73.75,A
59,Kota Yogyakarta,83.33,87.5,85,76.25,83.33,86.25,88,91.25,B
60,Kota Yogyakarta,81.67,72.5,74,80,81.67,73.75,86,87.5,B
61,Kota Yogyakarta,91.67,70,67,92.5,74.17,67.5,73,86.25,B
62,Kota Yogyakarta,76.67,65,57,78.75,93.33,80,70,71.25,B
63,Kota Yogyakarta,65,72.5,58,75,85,78.75,80,80,B
64,Kota Yogyakarta,91.67,75,59,70,56.67,76.25,70,73.75,B
65,Kota Yogyakarta,76.67,72.5,61,60,46.67,76.25,68,78.75,C
66,Kabupaten Bantul,78.33,75,70,77.5,69.17,72.5,69,76.25,B
67,Kabupaten Sleman,93.33,85,98,91.25,85.83,90,95,95,A
68,Kabupaten Sleman,86.67,92.5,92,85,92.5,83.75,100,95,A
69,Kabupaten Sleman,95,75,77,72.5,62.5,81.25,91,78.75,B
70,Kabupaten Sleman,91.67,87.5,82,75,60,62.5,83,86.25,B
71,Kabupaten Gunung Kidul,86.67,77.5,74,73.75,71.67,77.5,90,81.25,B
72,Kabupaten Bantul,85,87.5,92,71.25,70,76.25,79,67.5,B
73,Kabupaten Sleman,76.67,77.5,95,81.25,65,86.25,84,81.25,B
74,Kabupaten Bantul,96.66,82.5,86,87.5,88.33,97.5,88,98.75,A
75,Kabupaten Bantul,91.67,85,82,91.25,79.17,90,89,88.75,A
76,Kota Yogyakarta,93.33,100,98,98.75,82.5,85,97,93.75,A
77,Kota Yogyakarta,80,80,82,71.25,70,77.5,65,83.75,B
78,Kota Yogyakarta,85,72.5,57,77.5,80,65,55,55,C
79,Kota Yogyakarta,76.67,60,54,75,41.67,78.75,59,82.5,C
80,Kabupaten Bantul,100,85,77,82.5,75.83,97.5,93,83.75,A
81,Kabupaten Kulon Progo,98.33,97.5,97,91.25,96.67,98.75,96,95,A
82,Kabupaten Kulon Progo,80,77.5,61,63.75,60,73.75,62,75,C
83,Kabupaten Sleman,100,87.5,96,88.75,94.17,96.25,94,97.5,A
84,Kabupaten Sleman,95,92.5,82,95,89.17,90,89,87.5,A
85,Kabupaten Sleman,93.33,82.5,92,83.75,75.83,86.25,84,95,A
86,Kabupaten Sleman,83.33,85,76,78.75,80.83,98.75,82,92.5,B
87,Kabupaten Sleman,68.33,62.5,49,73.75,78.33,87.5,82,63.75,B
88,Kabupaten Gunung Kidul,93.33,77.5,87,81.25,79.17,90,82,86.25,B
89,Kabupaten Gunung Kidul,86.67,85,79,76.25,82.5,88.75,86,86.25,B
90,Kabupaten Gunung Kidul,81.67,80,82,73.75,64.17,70,79,81.25,B
91,Kabupaten Gunung Kidul,78.33,67.5,61,70,67.5,66.25,71,87.5,B
92,Kabupaten Gunung Kidul,86.67,70,66,53.75,50.83,77.5,74,71.25,C
93,Kabupaten Gunung Kidul,68.33,67.5,57,75,65.83,76.25,66,68.75,C
94,Kabupaten Kulon Progo,87,83,76,84,83,72,82,82,B
95,KABUPATEN BANTUL,91.3,97.125,92,91.25,98.3333333333333,93.75,95.8333333333334,98.7823061630219,A
96,KABUPATEN BANTUL,92.6833333333333,86.025,98,87.5,89.1666666666667,95,92.7083333333334,97.4652087475149,A
97,KABUPATEN SLEMAN,84.3833333333333,83.25,86,72.5,96.6666666666667,77.5,97.9166666666667,94.831013916501,A
98,KABUPATEN BANTUL,95.45,91.575,73,88.75,99.1666666666667,92.5,98.9583333333334,96.1481113320079,A
99,KABUPATEN KULON PROGO,96.8333333333333,99.9,92,87.5,96.6666666666667,96.25,98.9583333333334,94.831013916501,A
100,KABUPATEN BANTUL,95.45,86.025,88,80,91.6666666666667,88.75,85.4166666666667,93.513916500994,A
101,KABUPATEN BANTUL,99.6,91.575,95,93.75,99.1666666666667,97.5,97.9166666666667,98.7823061630219,A
102,KABUPATEN BANTUL,95.45,88.8,92,88.75,95,92.5,98.9583333333334,82.9771371769384,A
103,KABUPATEN SLEMAN,94.0666666666667,91.575,81,93.75,95.8333333333333,93.75,83.3333333333334,88.2455268389662,A
104,KABUPATEN BANTUL,94.0666666666667,91.575,83,93.75,98.3333333333333,92.5,95.8333333333334,88.2455268389662,A
105,KABUPATEN BANTUL,96.8333333333333,94.35,92,97.5,95,100,97.9166666666667,100.099403578529,A
106,KABUPATEN GUNUNGKIDUL,95.45,97.125,90,93.75,94.1666666666667,100,94.7916666666667,94.831013916501,A
107,KABUPATEN BANTUL,94.0666666666667,97.125,97,96.25,96.6666666666667,93.75,96.875,100.099403578529,A
108,KABUPATEN SLEMAN,96.8333333333333,97.125,98,95,98.3333333333333,97.5,94.7916666666667,94.831013916501,A
109,KABUPATEN KULON PROGO,96.8333333333333,97.125,79,87.5,84.1666666666667,86.25,79.1666666666667,93.513916500994,A
110,KABUPATEN SLEMAN,95.45,94.35,96,86.25,93.3333333333333,97.5,93.7500000000001,93.513916500994,A
111,KABUPATEN SLEMAN,85.7666666666667,69.375,91,73.75,75.8333333333333,96.25,96.875,61.903578528827,B
112,KOTA YOGYAKARTA,98.2166666666667,83.25,95.0000000000001,90,98.3333333333333,96.25,76.0416666666667,96.1481113320079,A
113,KABUPATEN GUNUNGKIDUL,99.6,83.25,97,82.5,94.1666666666667,98.75,93.75,93.513916500994,A
114,KOTA YOGYAKARTA,94.0666666666667,77.7,98,93.75,96.6666666666667,100,97.9166666666667,100.099403578529,A
115,KABUPATEN GUNUNGKIDUL,87.15,94.35,90,70,90,91.25,85.4166666666667,97.4652087475149,A
116,KABUPATEN SLEMAN,89.9166666666667,99.9,87,93.75,96.6666666666667,98.75,97.9166666666667,97.4652087475149,A
117,KOTA YOGYAKARTA,91.3,97.125,91,93.75,97.5,100,100,98.7823061630219,A
118,KABUPATEN BANTUL,83,58.275,83,62.5,76.6666666666667,87.5,96.8750000000001,85.6113320079523,B
119,KABUPATEN BANTUL,95.45,80.475,79,67.5,80.8333333333333,98.75,91.6666666666667,97.4652087475149,A
120,KABUPATEN BANTUL,96.8333333333333,94.35,87,96.25,97.5,93.75,94.7916666666667,90.8797216699801,A
121,KABUPATEN KULON PROGO,99.6,99.9,86,85,93.3333333333333,92.5,89.5833333333334,98.7823061630219,A
122,KABUPATEN BANTUL,99.6,94.35,100,87.5,92.5,98.75,95.8333333333334,96.148111332008,A
123,KABUPATEN BANTUL,96.8333333333333,94.35,100,86.25,99.1666666666667,100,97.9166666666667,98.7823061630219,A
124,KABUPATEN BANTUL,96.8333333333333,94.35,98,95,99.1666666666667,98.75,94.7916666666667,92.1968190854871,A
125,KABUPATEN BANTUL,99.6,94.35,100,96.25,98.3333333333333,100,95.8333333333334,98.7823061630219,A
126,KABUPATEN SLEMAN,99.6,97.125,95,93.75,93.3333333333333,98.75,94.7916666666667,90.8797216699801,A
127,KABUPATEN BANTUL,91.3,91.575,78,70,78.3333333333333,97.5,100,89.5626242544732,A
128,KABUPATEN BANTUL,98.2166666666667,91.575,88,95,99.1666666666667,97.5,100,90.8797216699801,A
129,KABUPATEN KULON PROGO,98.2166666666667,88.8,86.0000000000001,87.5,89.1666666666667,91.25,97.9166666666667,93.513916500994,A
130,KABUPATEN BANTUL,95.45,94.35,94,93.75,96.6666666666667,97.5,93.7500000000001,100.099403578529,A
131,KABUPATEN SLEMAN,96.8333333333333,91.575,96,88.75,93.3333333333333,92.5,96.8750000000001,94.831013916501,A
132,KABUPATEN BANTUL,98.2166666666667,97.125,97,93.75,97.5,98.75,91.6666666666667,92.1968190854871,A
133,KOTA YOGYAKARTA,99.6,94.35,100,98.75,98.3333333333333,100,100,97.4652087475149,A
134,KOTA YOGYAKARTA,60.8666666666667,55.5,57,61.25,71.6666666666667,61.25,48.9583333333333,56.6351888667992,C
135,KABUPATEN SLEMAN,84.3833333333333,99.9,70,75,77.5,78.75,86.4583333333334,82.9771371769384,B
136,KOTA YOGYAKARTA,98.2166666666667,97.125,97,95,100,93.75,98.9583333333334,98.7823061630219,A
137,KABUPATEN SLEMAN,96.8333333333333,88.8,87,87.5,90,97.5,98.9583333333334,97.4652087475149,A
138,KOTA YOGYAKARTA,96.8333333333333,97.125,95,97.5,99.1666666666667,96.25,100,94.831013916501,A
139,KABUPATEN SLEMAN,80.2333333333333,80.475,84,78.75,99.1666666666667,98.75,96.875,98.7823061630219,A
140,KABUPATEN BANTUL,89.9166666666667,80.475,84,86.25,80,86.25,84.375,57.9522862823062,B
141,KABUPATEN KULON PROGO,99.6,99.9,97,87.5,96.6666666666667,100,98.9583333333334,94.831013916501,A
142,KABUPATEN BANTUL,99.6,94.35,99,97.5,100,98.75,98.9583333333334,100.099403578529,A
